,row_names,actors,title,actorID
1,1,Scott Eastwood,The Fate of the Furious,1
2,2,Charlize Theron,The Fate of the Furious,2
3,3,Dwayne Johnson,The Fate of the Furious,3
4,4,Vin Diesel,The Fate of the Furious,4
5,5,Tom Hardy,Star Wars: The Last Jedi,5
6,6,Daisy Ridley,Star Wars: The Last Jedi,6
7,7,Adam Driver,Star Wars: The Last Jedi,7
8,8,Mark Hamill,Star Wars: The Last Jedi,8
9,9,Chris Pratt,Guardians of the Galaxy Vol. ,9
10,10,Karen Gillan,Guardians of the Galaxy Vol. ,10
11,11,Vin Diesel,Guardians of the Galaxy Vol. ,11
12,12,Sylvester Stallone,Guardians of the Galaxy Vol. ,12
13,13,Tom Hiddleston,Thor: Ragnarok,13
14,14,Benedict Cumberbatch,Thor: Ragnarok,14
15,15,Idris Elba,Thor: Ragnarok,15
16,16,Chris Hemsworth,Thor: Ragnarok,16
17,17,Emma Watson,Beauty and the Beast,17
18,18,Dan Stevens,Beauty and the Beast,18
19,19,Luke Evans,Beauty and the Beast,19
20,20,Josh Gad,Beauty and the Beast,20
21,21,Hugh Jackman,Logan,21
22,22,Patrick Stewart,Logan,22
23,23,Dafne Keen,Logan,23
24,24,Boyd Holbrook,Logan,24
25,25,Jeffrey Wright,The Good Dinosaur,25
26,26,Frances McDormand,26
27,27,Jack McGraw,27
28,28,Raymond Ochoa,28
29,29,Jack Bright,29
