,document.id,user_id,business_id,stars,useful,funny,cool
1,1,KpkOkG6RIf4Ra25Lhhxf1A,2aFiy99vNLklCx3T_tGS9A,5,0,0,0
2,2,bQ7fQq1otn9hKX-gXRsrgA,2aFiy99vNLklCx3T_tGS9A,5,1,0,0
3,3,r1NUhdNmL6yU9Bn-Yx6FTw,2aFiy99vNLklCx3T_tGS9A,5,0,0,0
4,4,aW3ix1KNZAvoM8q-WghA3Q,2LfIuF3_sX6uwe-IR-P0jQ,5,0,0,1
5,5,YOo-Cip8HqvKp_p9nEGphw,2LfIuF3_sX6uwe-IR-P0jQ,4,0,0,0
6,6,bgl3j8yJcRO-00NkUYsXGQ,2LfIuF3_sX6uwe-IR-P0jQ,5,2,0,1
7,7,CWKF9de-nskLYEqDDCfubg,2LfIuF3_sX6uwe-IR-P0jQ,4,0,0,0
8,8,GJ7PTY7huYORFKKg3db3Gw,2LfIuF3_sX6uwe-IR-P0jQ,5,2,0,0
9,9,rxqp9eXZj1jYTn0UIsm3Hg,2LfIuF3_sX6uwe-IR-P0jQ,5,0,0,0
10,10,UU0nHQtHPMAfLidk8tOHTg,2LfIuF3_sX6uwe-IR-P0jQ,5,0,0,0
11,11,A_Hyfk3FcwFVIk1CQC7z7w,2LfIuF3_sX6uwe-IR-P0jQ,1,1,0,0
12,12,OvD92wp0-uuFoGLBymwfKQ,2LfIuF3_sX6uwe-IR-P0jQ,5,1,1,1
13,13,5NDk-q5mv8PIDvz83HwMVg,2LfIuF3_sX6uwe-IR-P0jQ,4,0,0,0
14,14,AziQIgYIAY6uVw1k8sbtTw,2LfIuF3_sX6uwe-IR-P0jQ,5,1,0,0
15,15,A65IYKs3FwsyyJH20XOk2w,2LfIuF3_sX6uwe-IR-P0jQ,5,0,0,1
16,16,wnzfuir72IZFg5RAPOwWCQ,2LfIuF3_sX6uwe-IR-P0jQ,1,4,3,2
17,17,2N9wrn5A37aOXDrBPIYQdA,2LfIuF3_sX6uwe-IR-P0jQ,4,0,0,0
18,18,oKZiDLm0D1PIm1-vRtvONA,2LfIuF3_sX6uwe-IR-P0jQ,5,0,0,0
19,19,XMRkVYpQAZpWOpia5-MoPw,0czfEgv9KAD4VlIa7ANPWQ,1,1,0,0
20,20,jhhHm3Vk9ZlP21WdY_5R0w,0czfEgv9KAD4VlIa7ANPWQ,5,2,2,1
21,21,9Cmmt_34PxuC84P1AgmetQ,0czfEgv9KAD4VlIa7ANPWQ,5,0,0,0
22,22,B7ecAeAIrXg7sgmabS38pg,0czfEgv9KAD4VlIa7ANPWQ,3,5,5,4
23,23,mdVHZbSl97wUUoE6hdxeLg,0czfEgv9KAD4VlIa7ANPWQ,3,3,1,2
24,24,je5k8a3qIOM0VJE5MaxsfQ,0czfEgv9KAD4VlIa7ANPWQ,2,3,4,1
25,25,TryfbZaaGtedncOMq9k86g,0czfEgv9KAD4VlIa7ANPWQ,4,2,1,0
26,26,yt1VnahG-MRgU6tswWaUxA,0czfEgv9KAD4VlIa7ANPWQ,2,2,0,0
27,27,wJ0mbYw5WoiaKxiNEayZvg,0czfEgv9KAD4VlIa7ANPWQ,3,1,1,1
28,28,29rUYREQxeFE6LWGnirgew,0czfEgv9KAD4VlIa7ANPWQ,2,1,0,0
